-234175.211858, -46798.5191468, -2600.96186948
1002256.54545, 1617077.87665, 8425856.86742
-517622.144446, 7413115.51654, 8662900.83635
[ 905938.92983981], [-5535111.5835682], [-7580029.9254196]
[ 737013.18517546], [ 4528649.59986995], [-2356312.51918134]
[ 8827372.29214147], [-2850008.76774189], [-23920.88753508]
[ 8385824.66092237], [ 8508356.84064936], [-1823187.64987403]
[-191654.62457078], [ 5272330.00003557], [ 9647567.55027484]
[-4832539.59056839], [-9187430.33027508], [ 1656845.61588157]
[-8666076.51708027], [-884552.54367754], [ 6239106.51843261]
[ 1151875.36852689], [ 5099019.26242127], [ 2620498.42536016]
[-711216.08523113], [-9429819.29400248], [ 6663346.74156257]
[-2842309.37411786], [-6851840.04823763], [-9564610.78202035]
[ 4048399.20262865], [ 5039348.7884347], [ 505848.47809019]
[-9793056.0604423], [-292075.31849069], [ 3332869.29672085]
[-2619758.6827994], [-5446434.12483427], [-3241951.37586801]
[-76376.61135699], [ 9840965.87514097], [ 797022.10697271]
[ 6693736.55771082], [-3091251.1443338], [-9691331.33384682]
[ 3553101.13899725], [ 2197113.23827865], [-9297918.1797521]
[ 2926745.44557505], [-9837896.51403903], [-6228469.86809294]
[-6328066.23825669], [-8039184.22811365], [ 8263970.16320961]
[-9971727.89733453], [-7496120.14537903], [-5685156.28192483]
[-112963.68587445], [ 5742406.67742959], [ 9561442.4542119]
[-2032832.80486926], [ 8913855.79266508], [-5881717.12143715]
[ 3765513.78915961], [-1778833.00547653], [-5337115.66032188]
[-5862133.67486497], [ 6937791.17975898], [ 8455076.21528684]
[-3097106.24563668], [ 5258808.53710977], [-2599516.32227956]
[ 3839567.47281939], [ 3797758.67722847], [-2824631.11359043]
[-1746489.46495221], [-4009984.74976424], [-1079921.1418968]
[ 7082206.3060433], [ 2092223.25544143], [-3281574.99110703]
[ 1594850.17350985], [-2831628.86907766], [-1036550.56252417]
[ 1884420.68936036], [-7456107.55008831], [ 5547999.48132401]
[-3781996.13806652], [ 603830.19374107], [ 7561968.91231522]
